id,title,description,price,link,image[0].url,image[1].url,image[2].url
product_1,Product 1 - Version A,UPDATED: Test product 1 in Version A for catalog testing with new features,53.03USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_1_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_1_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_1_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_1_image_3.png?t=1759214780
product_2,Product 2 - Version A,UPDATED: Test product 2 in Version A for catalog testing with new features,53.55USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_2_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_2_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_2_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_2_image_3.png?t=1759214780
product_3,Product 3 - Version A,UPDATED: Test product 3 in Version A for catalog testing with new features,54.08USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_3_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_3_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_3_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_3_image_3.png?t=1759214780
product_4,Product 4 - Version A,UPDATED: Test product 4 in Version A for catalog testing with new features,54.60USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_4_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_4_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_4_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_4_image_3.png?t=1759214780
product_5,Product 5 - Version A,UPDATED: Test product 5 in Version A for catalog testing with new features,55.12USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_5_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_5_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_5_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_5_image_3.png?t=1759214780
product_6,Product 6 - Version A,UPDATED: Test product 6 in Version A for catalog testing with new features,55.65USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_6_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_6_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_6_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_6_image_3.png?t=1759214780
product_7,Product 7 - Version A,UPDATED: Test product 7 in Version A for catalog testing with new features,56.18USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_7_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_7_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_7_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_7_image_3.png?t=1759214780
product_8,Product 8 - Version A,UPDATED: Test product 8 in Version A for catalog testing with new features,56.70USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_8_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_8_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_8_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_8_image_3.png?t=1759214780
product_9,Product 9 - Version A,UPDATED: Test product 9 in Version A for catalog testing with new features,57.23USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_9_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_9_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_9_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_9_image_3.png?t=1759214780
product_10,Product 10 - Version A,UPDATED: Test product 10 in Version A for catalog testing with new features,57.75USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_10_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_10_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_10_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_10_image_3.png?t=1759214780
product_11,Product 11 - Version A,UPDATED: Test product 11 in Version A for catalog testing with new features,58.28USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_11_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_11_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_11_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_11_image_3.png?t=1759214780
product_12,Product 12 - Version A,UPDATED: Test product 12 in Version A for catalog testing with new features,58.80USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_12_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_12_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_12_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_12_image_3.png?t=1759214780
product_13,Product 13 - Version A,UPDATED: Test product 13 in Version A for catalog testing with new features,59.33USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_13_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_13_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_13_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_13_image_3.png?t=1759214780
product_14,Product 14 - Version A,UPDATED: Test product 14 in Version A for catalog testing with new features,59.85USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_14_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_14_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_14_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_14_image_3.png?t=1759214780
product_15,Product 15 - Version A,UPDATED: Test product 15 in Version A for catalog testing with new features,60.38USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_15_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_15_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_15_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_15_image_3.png?t=1759214780
product_16,Product 16 - Version A,UPDATED: Test product 16 in Version A for catalog testing with new features,60.90USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_16_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_16_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_16_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_16_image_3.png?t=1759214780
product_17,Product 17 - Version A,UPDATED: Test product 17 in Version A for catalog testing with new features,61.43USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_17_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_17_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_17_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_17_image_3.png?t=1759214780
product_18,Product 18 - Version A,UPDATED: Test product 18 in Version A for catalog testing with new features,61.95USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_18_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_18_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_18_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_18_image_3.png?t=1759214780
product_19,Product 19 - Version A,UPDATED: Test product 19 in Version A for catalog testing with new features,62.48USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_19_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_19_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_19_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_19_image_3.png?t=1759214780
product_20,Product 20 - Version A,UPDATED: Test product 20 in Version A for catalog testing with new features,63.00USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_20_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_20_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_20_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_20_image_3.png?t=1759214780
product_21,Product 21 - Version A,UPDATED: Test product 21 in Version A for catalog testing with new features,63.53USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_21_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_21_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_21_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_21_image_3.png?t=1759214780
product_22,Product 22 - Version A,UPDATED: Test product 22 in Version A for catalog testing with new features,64.05USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_22_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_22_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_22_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_22_image_3.png?t=1759214780
product_23,Product 23 - Version A,UPDATED: Test product 23 in Version A for catalog testing with new features,64.58USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_23_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_23_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_23_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_23_image_3.png?t=1759214780
product_24,Product 24 - Version A,UPDATED: Test product 24 in Version A for catalog testing with new features,65.10USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_24_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_24_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_24_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_24_image_3.png?t=1759214780
product_25,Product 25 - Version A,UPDATED: Test product 25 in Version A for catalog testing with new features,65.62USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_25_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_25_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_25_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_25_image_3.png?t=1759214780
product_26,Product 26 - Version A,UPDATED: Test product 26 in Version A for catalog testing with new features,66.15USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_26_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_26_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_26_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_26_image_3.png?t=1759214780
product_27,Product 27 - Version A,UPDATED: Test product 27 in Version A for catalog testing with new features,66.67USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_27_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_27_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_27_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_27_image_3.png?t=1759214780
product_28,Product 28 - Version A,UPDATED: Test product 28 in Version A for catalog testing with new features,67.20USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_28_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_28_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_28_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_28_image_3.png?t=1759214780
product_29,Product 29 - Version A,UPDATED: Test product 29 in Version A for catalog testing with new features,67.73USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_29_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_29_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_29_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_29_image_3.png?t=1759214780
product_30,Product 30 - Version A,UPDATED: Test product 30 in Version A for catalog testing with new features,68.25USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_30_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_30_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_30_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_30_image_3.png?t=1759214780
product_31,Product 31 - Version A,UPDATED: Test product 31 in Version A for catalog testing with new features,68.78USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_31_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_31_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_31_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_31_image_3.png?t=1759214780
product_32,Product 32 - Version A,UPDATED: Test product 32 in Version A for catalog testing with new features,69.30USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_32_version_a.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_32_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_32_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_a/product_32_image_3.png?t=1759214780
