id,title,description,price,link,image[0].url,image[1].url,image[2].url
product_1,Product 1 - Version C,UPDATED: Test product 1 in Version C for catalog testing with new features,47.72USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_1_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_1_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_1_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_1_image_3.png?t=1759214780
product_2,Product 2 - Version C,UPDATED: Test product 2 in Version C for catalog testing with new features,48.20USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_2_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_2_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_2_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_2_image_3.png?t=1759214780
product_3,Product 3 - Version C,UPDATED: Test product 3 in Version C for catalog testing with new features,48.67USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_3_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_3_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_3_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_3_image_3.png?t=1759214780
product_4,Product 4 - Version C,UPDATED: Test product 4 in Version C for catalog testing with new features,49.14USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_4_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_4_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_4_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_4_image_3.png?t=1759214780
product_5,Product 5 - Version C,UPDATED: Test product 5 in Version C for catalog testing with new features,49.61USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_5_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_5_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_5_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_5_image_3.png?t=1759214780
product_6,Product 6 - Version C,UPDATED: Test product 6 in Version C for catalog testing with new features,50.09USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_6_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_6_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_6_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_6_image_3.png?t=1759214780
product_7,Product 7 - Version C,UPDATED: Test product 7 in Version C for catalog testing with new features,50.56USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_7_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_7_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_7_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_7_image_3.png?t=1759214780
product_8,Product 8 - Version C,UPDATED: Test product 8 in Version C for catalog testing with new features,51.03USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_8_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_8_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_8_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_8_image_3.png?t=1759214780
product_9,Product 9 - Version C,UPDATED: Test product 9 in Version C for catalog testing with new features,51.50USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_9_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_9_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_9_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_9_image_3.png?t=1759214780
product_10,Product 10 - Version C,UPDATED: Test product 10 in Version C for catalog testing with new features,51.98USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_10_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_10_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_10_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_10_image_3.png?t=1759214780
product_11,Product 11 - Version C,UPDATED: Test product 11 in Version C for catalog testing with new features,52.45USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_11_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_11_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_11_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_11_image_3.png?t=1759214780
product_12,Product 12 - Version C,UPDATED: Test product 12 in Version C for catalog testing with new features,52.92USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_12_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_12_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_12_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_12_image_3.png?t=1759214780
product_13,Product 13 - Version C,UPDATED: Test product 13 in Version C for catalog testing with new features,53.39USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_13_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_13_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_13_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_13_image_3.png?t=1759214780
product_14,Product 14 - Version C,UPDATED: Test product 14 in Version C for catalog testing with new features,53.87USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_14_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_14_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_14_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_14_image_3.png?t=1759214780
product_15,Product 15 - Version C,UPDATED: Test product 15 in Version C for catalog testing with new features,54.34USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_15_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_15_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_15_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_15_image_3.png?t=1759214780
product_16,Product 16 - Version C,UPDATED: Test product 16 in Version C for catalog testing with new features,54.81USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_16_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_16_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_16_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_16_image_3.png?t=1759214780
product_17,Product 17 - Version C,UPDATED: Test product 17 in Version C for catalog testing with new features,55.28USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_17_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_17_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_17_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_17_image_3.png?t=1759214780
product_18,Product 18 - Version C,UPDATED: Test product 18 in Version C for catalog testing with new features,55.76USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_18_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_18_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_18_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_18_image_3.png?t=1759214780
product_19,Product 19 - Version C,UPDATED: Test product 19 in Version C for catalog testing with new features,56.23USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_19_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_19_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_19_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_19_image_3.png?t=1759214780
product_20,Product 20 - Version C,UPDATED: Test product 20 in Version C for catalog testing with new features,56.70USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_20_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_20_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_20_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_20_image_3.png?t=1759214780
product_21,Product 21 - Version C,UPDATED: Test product 21 in Version C for catalog testing with new features,57.17USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_21_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_21_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_21_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_21_image_3.png?t=1759214780
product_22,Product 22 - Version C,UPDATED: Test product 22 in Version C for catalog testing with new features,57.65USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_22_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_22_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_22_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_22_image_3.png?t=1759214780
product_23,Product 23 - Version C,UPDATED: Test product 23 in Version C for catalog testing with new features,58.12USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_23_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_23_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_23_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_23_image_3.png?t=1759214780
product_24,Product 24 - Version C,UPDATED: Test product 24 in Version C for catalog testing with new features,58.59USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_24_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_24_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_24_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_24_image_3.png?t=1759214780
product_25,Product 25 - Version C,UPDATED: Test product 25 in Version C for catalog testing with new features,59.06USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_25_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_25_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_25_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_25_image_3.png?t=1759214780
product_26,Product 26 - Version C,UPDATED: Test product 26 in Version C for catalog testing with new features,59.54USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_26_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_26_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_26_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_26_image_3.png?t=1759214780
product_27,Product 27 - Version C,UPDATED: Test product 27 in Version C for catalog testing with new features,60.01USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_27_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_27_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_27_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_27_image_3.png?t=1759214780
product_28,Product 28 - Version C,UPDATED: Test product 28 in Version C for catalog testing with new features,60.48USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_28_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_28_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_28_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_28_image_3.png?t=1759214780
product_29,Product 29 - Version C,UPDATED: Test product 29 in Version C for catalog testing with new features,60.95USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_29_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_29_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_29_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_29_image_3.png?t=1759214780
product_30,Product 30 - Version C,UPDATED: Test product 30 in Version C for catalog testing with new features,61.43USD,https://alanho.github.io/meta_product_data_version_feed_sample/output/html/product_30_version_c.html,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_30_image_1.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_30_image_2.png?t=1759214780,https://alanho.github.io/meta_product_data_version_feed_sample/output/images/version_c/product_30_image_3.png?t=1759214780
